split,index_in_split,filename,instance_path,result_path,solver_status,runtime,wall_time,mip_gap,objective,x_positive_rate,x_mean,has_solution,error
train,2201,cpbsd_instance_2910_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2910_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2910_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,120.74526500701904,120.74721884727478,0.00998382068941122,1.7806427864705272,0.632,0.632,True,
train,2202,cpbsd_instance_2911_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2911_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2911_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,88.56059098243713,88.56256103515625,0.009956337766913771,1.4938837210519988,0.476,0.476,True,
train,2203,cpbsd_instance_2912_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2912_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2912_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,101.3799397945404,101.3820948600769,0.009631985577204502,1.6915495011984214,0.6,0.6,True,
train,2204,cpbsd_instance_2913_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2913_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2913_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,74.71581387519836,74.71772289276123,0.009427212566044235,1.601896927534254,0.572,0.572,True,
train,2205,cpbsd_instance_2914_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2914_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2914_N5_K50_normal_rho0.0_full_hvhm__mb.json,9,300.019339799881,300.0211479663849,0.058375799321055334,1.4884524564410329,0.624,0.624,True,
train,2206,cpbsd_instance_2915_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2915_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2915_N5_K50_normal_rho0.0_full_hvhm__mb.json,9,300.0120370388031,300.0138781070709,0.01734095730524783,1.5470083243364119,0.492,0.492,True,
train,2207,cpbsd_instance_2916_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2916_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2916_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,133.9614338874817,133.96320509910583,0.009712513504623821,1.5216623250254107,0.584,0.584,True,
train,2208,cpbsd_instance_2917_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2917_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2917_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,61.03598499298096,61.037731885910034,0.009507484035315882,1.5831333977060142,0.588,0.588,True,
train,2209,cpbsd_instance_2918_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2918_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2918_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,56.72444796562195,56.726255893707275,0.009673527392716343,1.7872298392671406,0.644,0.644,True,
train,2210,cpbsd_instance_2919_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2919_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2919_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,67.14636611938477,67.14817094802856,0.009711506421086799,1.7289325443713592,0.588,0.588,True,
train,2211,cpbsd_instance_291_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_291_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_291_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,228.4235119819641,228.42527294158936,0.009844794069422654,1.7448934999171934,0.736,0.736,True,
train,2212,cpbsd_instance_2920_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2920_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2920_N5_K50_normal_rho0.0_full_hvhm__mb.json,9,300.00986099243164,300.0117621421814,0.011557350908148018,1.6898147463512605,0.644,0.644,True,
train,2213,cpbsd_instance_2921_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2921_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2921_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,64.2548828125,64.2566978931427,0.009335069642015593,1.6990694697885929,0.648,0.648,True,
train,2214,cpbsd_instance_2922_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2922_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2922_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,76.50477886199951,76.50654196739197,0.009559587646505241,1.5034276050718753,0.632,0.632,True,
train,2215,cpbsd_instance_2923_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2923_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2923_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,292.70926809310913,292.711040019989,0.009836151354774576,1.8086994640344942,0.636,0.636,True,
train,2216,cpbsd_instance_2924_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_2924_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_mb_labels_chunked_run1/train/train_chunk_012/cpbsd_instance_2924_N5_K50_normal_rho0.0_full_hvhm__mb.json,2,62.824604988098145,62.82639193534851,0.009526929048906955,1.5313968200929517,0.556,0.556,True,
