instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,error,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvhm,exponential,-0.5,full,hvhm,20267306,OK,,6.620964329288421,4.07771766537256,0.6158797212264708,0.38412027877352917
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_hvlm,exponential,-0.5,full,hvlm,20268306,OK,,6.914360950201461,3.2574806260902793,0.47111810470284565,0.5288818952971543
cpbsd_instance_001_N5_K50_exponential_rho-0.5_full_zero,exponential,-0.5,full,zero,20266306,OK,,18.507651265723855,13.570707248026366,0.7332484848122948,0.26675151518770523
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvhm,exponential,-0.5,none,hvhm,20261306,OK,,1.2782383394808527,0.8098764556950517,0.6335879864344995,0.36641201356550046
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_hvlm,exponential,-0.5,none,hvlm,20262306,OK,,1.2251218006555709,0.8928367429977697,0.7287738594807527,0.2712261405192473
cpbsd_instance_001_N5_K50_exponential_rho-0.5_none_zero,exponential,-0.5,none,zero,20260306,OK,,3.007175311406984,2.5299607601713334,0.841308037670616,0.15869196232938398
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvhm,exponential,-0.5,partial,hvhm,20264306,OK,,4.612050610970845,2.658762289411556,0.5764815943448378,0.4235184056551622
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_hvlm,exponential,-0.5,partial,hvlm,20265306,OK,,5.396578473888013,2.506244096188576,0.46441353689478176,0.5355864631052183
cpbsd_instance_001_N5_K50_exponential_rho-0.5_partial_zero,exponential,-0.5,partial,zero,20263306,OK,,10.27238827365537,8.213993923814309,0.7996187162122725,0.20038128378772746
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvhm,exponential,0.0,full,hvhm,20276306,OK,,5.925088667118144,3.5643139938470347,0.6015629797453567,0.39843702025464334
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_hvlm,exponential,0.0,full,hvlm,20277306,OK,,7.636683772709423,3.921490850947892,0.513507036255946,0.48649296374405404
cpbsd_instance_001_N5_K50_exponential_rho0.0_full_zero,exponential,0.0,full,zero,20275306,OK,,16.683908177443517,12.31999259827068,0.738435651122031,0.261564348877969
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvhm,exponential,0.0,none,hvhm,20270306,OK,,1.2854645229308646,0.8669822046833566,0.6744505112491425,0.32554948875085754
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_hvlm,exponential,0.0,none,hvlm,20271306,OK,,1.0773904802869032,0.9632154841662901,0.8940263551519325,0.10597364484806748
cpbsd_instance_001_N5_K50_exponential_rho0.0_none_zero,exponential,0.0,none,zero,20269306,OK,,2.959166646834334,2.3824889520210437,0.8051215887316755,0.1948784112683245
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvhm,exponential,0.0,partial,hvhm,20273306,OK,,3.958700443586871,2.0213762601473726,0.5106161198486285,0.48938388015137146
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_hvlm,exponential,0.0,partial,hvlm,20274306,OK,,3.3714679359630266,2.6157130552275785,0.7758380340284701,0.22416196597152993
cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,exponential,0.0,partial,zero,20272306,OK,,8.605877763972966,7.923176571600455,0.9206703591316945,0.07932964086830552
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvhm,exponential,0.5,full,hvhm,20285306,OK,,8.236461634831372,3.458137742653655,0.4198572027616146,0.5801427972383855
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_hvlm,exponential,0.5,full,hvlm,20286306,OK,,6.55970004882477,3.691324264401803,0.5627275998790733,0.4372724001209267
cpbsd_instance_001_N5_K50_exponential_rho0.5_full_zero,exponential,0.5,full,zero,20284306,OK,,14.162915190470546,11.196966517289537,0.7905834615760013,0.20941653842399865
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvhm,exponential,0.5,none,hvhm,20279306,OK,,1.0531757818801648,0.7686205588576036,0.7298122232600491,0.27018777673995087
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_hvlm,exponential,0.5,none,hvlm,20280306,OK,,1.5329219952541582,0.8361007081146355,0.545429389560041,0.45457061043995906
cpbsd_instance_001_N5_K50_exponential_rho0.5_none_zero,exponential,0.5,none,zero,20278306,OK,,2.2863345729213957,1.910409751382447,0.8355775108370925,0.16442248916290747
cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvhm,exponential,0.5,partial,hvhm,20282306,OK,,3.316086820069214,2.4252115802153273,0.7313474320207056,0.2686525679792944
cpbsd_instance_001_N5_K50_exponential_rho0.5_partial_hvlm,exponential,0.5,partial,hvlm,20283306,OK,,6.641585564910854,2.1836675559382526,0.32878708473999196,0.671212915260008
