customer_id,valuations,chosen_bundle,chosen_surplus,chosen_profit,alt_bundle,alt_surplus,margin_vs_alt
17,"[1.2788446437587617, 3.9647821996635644, 5.307527968478359, 7.949759379089399, 9.5330984934611]",31,0.0218,2.5123,27,0.0218,0.0000
19,"[1.033800732656022, 3.2797936662246854, 5.479950665684796, 7.7314457613780325, 10.582665340286717]",31,0.0954,2.5123,13,0.0954,0.0000
34,"[1.212683687884696, 4.13874720236152, 5.84785369043469, 7.767697354265581, 9.748696244543263]",31,0.7034,2.5123,14,0.5432,0.1602
12,"[1.5605913052626288, 3.4248070758725375, 5.953268228285756, 7.633793304516848, 10.16720079899885]",31,0.7274,2.5123,20,0.6543,0.0731
44,"[1.3406654352293863, 3.139725409504923, 6.083905702723001, 7.937678571517719, 10.332761033127863]",31,0.8225,2.5123,23,0.6363,0.1861
46,"[1.4701755027782804, 2.879682858596098, 5.618037945902247, 7.656182871484897, 10.542979270076168]",23,0.2287,2.5087,21,0.2287,0.0000
37,"[1.6625412697948185, 2.575900702636877, 5.701822407196537, 8.515092621579193, 10.481560121565588]",23,1.3023,2.5087,19,1.1522,0.1501
4,"[0.6734178615776155, 3.3878772848801813, 5.796871499203737, 7.964029967524414, 10.357810146481208]",15,0.4188,2.3877,13,0.2955,0.1233
33,"[0.7313846959605514, 4.17056843837875, 5.862449408462258, 8.070050410607946, 10.058155129040665]",15,1.0735,2.3877,14,0.8920,0.1815
6,"[0.48390288208060994, 3.261382382506039, 6.371849569112666, 8.220112714144358, 10.624640099781104]",15,1.3902,2.3877,7,1.3902,0.0000
