bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
1023,1111111111,10,72,0.025547,2.362886,56,0.025547,0.025547
1015,1111110111,9,33,0.015029,2.277485,30,0.015029,0.040576
1019,1111111011,9,37,0.014252,2.265561,33,0.014252,0.054827
511,0111111111,9,43,0.014073,2.271660,38,0.014073,0.068901
1021,1111111101,9,37,0.013339,2.280796,31,0.013339,0.082239
991,1111011111,9,37,0.013017,2.284795,31,0.013017,0.095256
767,1011111111,9,35,0.012011,2.280099,29,0.012011,0.107267
1022,1111111110,9,30,0.011228,2.271496,26,0.011228,0.118495
895,1101111111,9,31,0.011000,2.252508,25,0.011000,0.129495
959,1110111111,9,37,0.010650,2.271221,27,0.010650,0.140145
1007,1111101111,9,32,0.010537,2.278599,27,0.010537,0.150682
957,1110111101,8,24,0.007937,2.158016,23,0.007937,0.158619
983,1111010111,8,18,0.007712,2.177020,17,0.007712,0.166331
479,0111011111,8,19,0.007464,2.200569,18,0.007464,0.173795
510,0111111110,8,19,0.006935,2.196432,18,0.006935,0.180731
894,1101111110,8,16,0.006933,2.164048,15,0.006933,0.187663
383,0101111111,8,19,0.006825,2.157132,19,0.006825,0.194488
1011,1111110011,8,20,0.006771,2.172828,19,0.006771,0.201259
1006,1111101110,8,18,0.006669,2.183034,17,0.006669,0.207927
927,1110011111,8,20,0.006636,2.167386,18,0.006636,0.214563
879,1101101111,8,14,0.006515,2.163254,13,0.006515,0.221078
1013,1111110101,8,17,0.006406,2.203715,16,0.006406,0.227484
495,0111101111,8,15,0.006354,2.176622,14,0.006354,0.233838
951,1110110111,8,18,0.006269,2.183006,16,0.006269,0.240107
503,0111110111,8,16,0.006252,2.183496,15,0.006252,0.246359
958,1110111110,8,14,0.006211,2.204437,14,0.006211,0.252569
955,1110111011,8,17,0.006101,2.168474,15,0.006101,0.258670
703,1010111111,8,16,0.005983,2.188630,16,0.005983,0.264653
509,0111111101,8,15,0.005800,2.156368,15,0.005800,0.270453
1014,1111110110,8,21,0.005719,2.193110,18,0.005719,0.276172
887,1101110111,8,17,0.005569,2.186782,16,0.005569,0.281741
987,1111011011,8,14,0.005557,2.184536,13,0.005557,0.287298
831,1100111111,8,12,0.005522,2.193012,11,0.005522,0.292820
1017,1111111001,8,17,0.005464,2.195106,17,0.005464,0.298284
1005,1111101101,8,14,0.005301,2.187340,13,0.005301,0.303585
765,1011111101,8,13,0.005238,2.204705,13,0.005238,0.308824
990,1111011110,8,13,0.005120,2.189432,12,0.005120,0.313943
639,1001111111,8,17,0.005037,2.159147,15,0.005037,0.318981
975,1111001111,8,12,0.004991,2.193336,10,0.004991,0.323972
989,1111011101,8,15,0.004923,2.160982,13,0.004923,0.328895
925,1110011101,7,11,0.004896,2.110385,11,0.004896,0.333791
1003,1111101011,8,16,0.004766,2.180617,16,0.004766,0.338557
999,1111100111,8,12,0.004634,2.199956,11,0.004634,0.343191
759,1011110111,8,11,0.004585,2.120442,9,0.004585,0.347776
766,1011111110,8,10,0.004515,2.194276,10,0.004515,0.352291
507,0111111011,8,18,0.004322,2.175949,18,0.004322,0.356613
1018,1111111010,8,11,0.004205,2.204698,11,0.004205,0.360817
751,1011101111,8,12,0.004027,2.172126,12,0.004027,0.364844
939,1110101011,7,9,0.004019,2.089011,8,0.004019,0.368863
447,0110111111,8,11,0.003982,2.197880,10,0.003982,0.372845
943,1110101111,8,14,0.003944,2.208791,14,0.003944,0.376788
635,1001111011,7,10,0.003942,2.095551,10,0.003942,0.380730
893,1101111101,8,13,0.003815,2.171597,13,0.003815,0.384545
559,1000101111,6,10,0.003806,1.936398,9,0.003806,0.388351
379,0101111011,7,9,0.003764,2.033604,7,0.003764,0.392115
375,0101110111,7,8,0.003711,2.039500,8,0.003711,0.395826
735,1011011111,8,12,0.003675,2.170947,12,0.003675,0.399501
1010,1111110010,7,10,0.003587,2.085104,9,0.003587,0.403088
506,0111111010,7,10,0.003498,2.092638,10,0.003498,0.406586
687,1010101111,7,9,0.003410,2.085353,8,0.003410,0.409996
415,0110011111,7,10,0.003238,2.061610,9,0.003238,0.413235
891,1101111011,8,10,0.003176,2.132816,10,0.003176,0.416411
827,1100111011,7,8,0.003174,2.109397,8,0.003174,0.419585
763,1011111011,8,11,0.003092,2.181249,11,0.003092,0.422678
501,0111110101,7,8,0.003024,2.068939,8,0.003024,0.425702
255,0011111111,8,10,0.002989,2.160875,10,0.002989,0.428691
947,1110110011,7,8,0.002971,2.057702,8,0.002971,0.431662
982,1111010110,7,11,0.002956,2.035886,10,0.002956,0.434618
487,0111100111,7,11,0.002947,2.042844,11,0.002947,0.437565
949,1110110101,7,9,0.002914,2.048617,9,0.002914,0.440479
941,1110101101,7,6,0.002913,2.076480,4,0.002913,0.443393
311,0100110111,6,8,0.002913,1.921315,8,0.002913,0.446305
863,1101011111,8,11,0.002901,2.198115,10,0.002901,0.449206
