strategy,group,ts,equity,return_pct
benchmark_btc_buy_hold,benchmark,2024-01-03T01:00:00+00:00,10000.0,0.0
benchmark_btc_buy_hold,benchmark,2024-01-03T02:00:00+00:00,10008.822664444662,0.0008822664444663175
benchmark_btc_buy_hold,benchmark,2024-01-03T03:00:00+00:00,10017.645328889324,0.001764532888932413
benchmark_btc_buy_hold,benchmark,2024-01-03T04:00:00+00:00,10026.467993333987,0.0026467993333987305
benchmark_btc_buy_hold,benchmark,2024-01-03T05:00:00+00:00,10035.290657778649,0.003529065777864826
benchmark_btc_buy_hold,benchmark,2024-01-03T06:00:00+00:00,10044.113322223311,0.0044113322223311435
benchmark_btc_buy_hold,benchmark,2024-01-03T07:00:00+00:00,10052.935986667973,0.005293598666797239
benchmark_btc_buy_hold,benchmark,2024-01-03T08:00:00+00:00,10061.758651112636,0.0061758651112635565
benchmark_btc_buy_hold,benchmark,2024-01-03T09:00:00+00:00,10070.581315557298,0.007058131555729874
benchmark_btc_buy_hold,benchmark,2024-01-03T10:00:00+00:00,10079.40398000196,0.00794039800019597
benchmark_btc_buy_hold,benchmark,2024-01-03T11:00:00+00:00,10088.226644446622,0.008822664444662287
benchmark_btc_buy_hold,benchmark,2024-01-03T12:00:00+00:00,10097.049308891284,0.009704930889128383
benchmark_btc_buy_hold,benchmark,2024-01-03T13:00:00+00:00,10105.871973335947,0.0105871973335947
benchmark_btc_buy_hold,benchmark,2024-01-03T14:00:00+00:00,10114.694637780609,0.011469463778060796
benchmark_btc_buy_hold,benchmark,2024-01-03T15:00:00+00:00,10123.517302225271,0.012351730222527113
benchmark_btc_buy_hold,benchmark,2024-01-03T16:00:00+00:00,10132.339966669935,0.01323399666699343
benchmark_btc_buy_hold,benchmark,2024-01-03T17:00:00+00:00,10141.162631114597,0.014116263111459748
benchmark_btc_buy_hold,benchmark,2024-01-03T18:00:00+00:00,10149.98529555926,0.014998529555926066
benchmark_btc_buy_hold,benchmark,2024-01-03T19:00:00+00:00,10158.807960003922,0.01588079600039216
benchmark_btc_buy_hold,benchmark,2024-01-03T20:00:00+00:00,10167.630624448584,0.01676306244485848
benchmark_btc_buy_hold,benchmark,2024-01-03T21:00:00+00:00,10176.453288893246,0.017645328889324574
benchmark_btc_buy_hold,benchmark,2024-01-03T22:00:00+00:00,10185.275953337909,0.01852759533379089
benchmark_btc_buy_hold,benchmark,2024-01-03T23:00:00+00:00,10194.09861778257,0.019409861778256987
benchmark_btc_buy_hold,benchmark,2024-01-04T00:00:00+00:00,10108.812861484168,0.01088128614841688
benchmark_btc_buy_hold,benchmark,2024-01-04T01:00:00+00:00,10117.63552592883,0.011763552592882975
benchmark_btc_buy_hold,benchmark,2024-01-04T02:00:00+00:00,10126.458190373492,0.012645819037349293
benchmark_btc_buy_hold,benchmark,2024-01-04T03:00:00+00:00,10135.280854818155,0.013528085481815388
benchmark_btc_buy_hold,benchmark,2024-01-04T04:00:00+00:00,10144.103519262817,0.014410351926281706
benchmark_btc_buy_hold,benchmark,2024-01-04T05:00:00+00:00,10152.92618370748,0.015292618370748023
benchmark_btc_buy_hold,benchmark,2024-01-04T06:00:00+00:00,10161.748848152141,0.01617488481521412
benchmark_btc_buy_hold,benchmark,2024-01-04T07:00:00+00:00,10170.571512596804,0.017057151259680436
benchmark_btc_buy_hold,benchmark,2024-01-04T08:00:00+00:00,10179.394177041466,0.017939417704146532
benchmark_btc_buy_hold,benchmark,2024-01-04T09:00:00+00:00,10188.216841486128,0.01882168414861285
benchmark_btc_buy_hold,benchmark,2024-01-04T10:00:00+00:00,10197.03950593079,0.019703950593078945
benchmark_btc_buy_hold,benchmark,2024-01-04T11:00:00+00:00,10205.862170375452,0.020586217037545262
benchmark_btc_buy_hold,benchmark,2024-01-04T12:00:00+00:00,10214.684834820117,0.02146848348201158
benchmark_btc_buy_hold,benchmark,2024-01-04T13:00:00+00:00,10223.507499264779,0.022350749926477897
benchmark_btc_buy_hold,benchmark,2024-01-04T14:00:00+00:00,10232.330163709441,0.023233016370943993
benchmark_btc_buy_hold,benchmark,2024-01-04T15:00:00+00:00,10241.152828154103,0.02411528281541031
benchmark_btc_buy_hold,benchmark,2024-01-04T16:00:00+00:00,10249.975492598765,0.024997549259876628
benchmark_btc_buy_hold,benchmark,2024-01-04T17:00:00+00:00,10258.798157043428,0.025879815704342723
benchmark_btc_buy_hold,benchmark,2024-01-04T18:00:00+00:00,10267.62082148809,0.02676208214880904
benchmark_btc_buy_hold,benchmark,2024-01-04T19:00:00+00:00,10276.443485932752,0.027644348593275136
benchmark_btc_buy_hold,benchmark,2024-01-04T20:00:00+00:00,10285.266150377414,0.028526615037741454
benchmark_btc_buy_hold,benchmark,2024-01-04T21:00:00+00:00,10294.088814822077,0.02940888148220755
