0.000000000000000000e+00,2.221190569565651141e-01
1.000000000000000000e+00,1.718022469034854449e-01
2.000000000000000000e+00,1.474487008725074988e-01
3.000000000000000000e+00,1.430596262216567993e-01
4.000000000000000000e+00,1.311094157714793040e-01
5.000000000000000000e+00,1.458102274448313529e-01
6.000000000000000000e+00,1.211141784615973188e-01
7.000000000000000000e+00,1.189194258223188749e-01
8.000000000000000000e+00,1.153404596955218270e-01
9.000000000000000000e+00,1.117906993690957473e-01
1.000000000000000000e+01,1.214702172165221389e-01
1.100000000000000000e+01,1.149795958177840388e-01
1.200000000000000000e+01,1.063212805447426301e-01
1.300000000000000000e+01,1.050186087476446262e-01
1.400000000000000000e+01,1.033227045009744993e-01
1.500000000000000000e+01,1.173067643762902984e-01
1.600000000000000000e+01,1.041173508509676549e-01
1.700000000000000000e+01,1.061497409927084079e-01
1.800000000000000000e+01,1.039798914435061949e-01
1.900000000000000000e+01,1.007584088501778108e-01
2.000000000000000000e+01,1.048884621643005471e-01
2.100000000000000000e+01,9.369466972953462147e-02
2.200000000000000000e+01,9.127090934743271877e-02
2.300000000000000000e+01,9.380482061904796276e-02
2.400000000000000000e+01,9.551850317957553960e-02
2.500000000000000000e+01,9.156813971856807288e-02
2.600000000000000000e+01,9.235568828088172588e-02
2.700000000000000000e+01,9.116696796201645414e-02
2.800000000000000000e+01,9.680739425598307302e-02
2.900000000000000000e+01,8.925955520665392051e-02
3.000000000000000000e+01,9.289477575332560910e-02
