split,index_in_split,filename,instance_path
train,1001,cpbsd_instance_181_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_181_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1002,cpbsd_instance_1820_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1820_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1003,cpbsd_instance_1821_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1821_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1004,cpbsd_instance_1822_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1822_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1005,cpbsd_instance_1823_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1823_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1006,cpbsd_instance_1824_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1824_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1007,cpbsd_instance_1825_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1825_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1008,cpbsd_instance_1826_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1826_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1009,cpbsd_instance_1827_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1827_N5_K50_normal_rho0.0_full_hvhm.msgpack
train,1010,cpbsd_instance_1828_N5_K50_normal_rho0.0_full_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_gcn_single_setting_n5_normal_rho0_full_hvhm/all_instances/cpbsd_instance_1828_N5_K50_normal_rho0.0_full_hvhm.msgpack
